                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                 1.1227,                0.83518,                   1.48,                0.88675,                0.91123,                0.95637,                0.64152,                 1.1555,                0.65042,                 1.6883,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                  1.107,                0.84877,                 1.5025,                0.86182,                0.92928,                0.95192,                0.63163,                 1.2003,                 0.6547,                 1.7528,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                 1.1337,                0.84199,                 1.4969,                0.88934,                0.92559,                0.95199,                0.63509,                 1.2049,                0.66068,                 1.7306,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.98183,                0.70815,                 1.4885,                0.92264,                0.86614,                0.92835,                0.58738,                 1.2994,                0.70372,                 1.8112,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.96664,                0.67541,                 1.5165,                0.88964,                0.90566,                0.93935,                0.61767,                 1.2297,                0.68004,                 1.7736,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.96433,                 0.6678,                 1.5089,                0.90562,                0.89668,                0.93311,                0.60488,                 1.2254,                0.65646,                 1.7622,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.96795,                 0.6478,                 1.5163,                0.91173,                 0.9095,                0.94421,                0.63373,                 1.1864,                0.64426,                 1.7205,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.95141,                0.63234,                  1.505,                0.92239,                 0.9095,                0.94737,                0.63312,                 1.1873,                0.63921,                 1.7313,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.95307,                0.62568,                 1.5002,                0.91494,                0.91935,                0.94836,                0.64257,                  1.162,                0.63496,                 1.7075,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.94891,                0.61808,                 1.4835,                0.93211,                0.91714,                0.95115,                0.64451,                 1.1558,                0.62628,                 1.7019,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                 0.9262,                0.60615,                 1.4647,                 0.9427,                0.90853,                0.95083,                0.63991,                 1.1464,                0.62662,                 1.7006,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.94059,                0.62922,                 1.5078,                0.94043,                 0.9095,                0.95245,                0.64839,                  1.161,                0.63425,                 1.7049,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                0.96345,                0.63126,                  1.542,                0.90359,                0.93539,                0.95441,                0.64233,                 1.1731,                0.63309,                 1.7213,             1.4209e-05,             1.4209e-05,             1.4209e-05
